Name	Kind	Number samples	Number features	Number executions	Iteration	Time
cov-10 (assemblies)	q.toframe	59	816	100	10	0.0033032530918717384
cov-10 (assemblies)	q.summary	59	816	1000	1	0.0003555755913257599
cov-10 (assemblies)	q.summary	59	816	1000	2	0.0003607628485187888
cov-10 (assemblies)	q.summary	59	816	1000	3	0.0003579611973837018
cov-10 (assemblies)	q.summary	59	816	1000	4	0.0003572537312284112
cov-10 (assemblies)	q.summary	59	816	1000	5	0.0003505378104746342
cov-10 (assemblies)	q.summary	59	816	1000	6	0.0003464258052408695
cov-10 (assemblies)	q.summary	59	816	1000	7	0.0003470098003745079
cov-10 (assemblies)	q.summary	59	816	1000	8	0.00035212599206715825
cov-10 (assemblies)	q.summary	59	816	1000	9	0.00034647610038518906
cov-10 (assemblies)	q.summary	59	816	1000	10	0.00034474309254437684
